d,before,date,effect,forecast,reality,state,time,title
0,994,2017-02-23,金银 石油|美元|,332.5,-88.4,美国,05:30,2月19日当周API原油库存(万)
1,1422.7,2017-02-15,美元|金银 石油|,317.5,994,美国,05:30,2月12日当周API原油库存(万)
2,583,2017-02-08,美元|金银 石油|,238,1422.7,美国,05:30,2月5日当周API原油库存(万)
3,293,2017-02-01,美元|金银 石油|,306.3,583,美国,05:30,1月29日当周API原油库存(万)
4,-500,2017-01-25,美元|金银 石油|,272.4,293,美国,05:30,1月20日当周API原油库存(万)
5,153.3,2017-01-19,金银 石油|美元|,-96,-500,美国,05:30,1月13日当周API原油库存(万)
6,-743.1,2017-01-11,美元|金银 石油|,62,153.3,美国,05:30,1月6日当周API原油库存(万)
7,420,2017-01-05,金银 石油|美元|,-171.5,-743.1,美国,05:30,12月30日当周API原油库存(万)
8,-414,2016-12-29,美元|金银 石油|,-150,420,美国,05:30,12月23日当周API原油库存(万)
9,468,2016-12-21,金银 石油|美元|,-242.5,-415,美国,05:30,12月16日当周API原油库存(万)
10,-220,2016-12-14,美元|金银 石油|,-146.7,468,美国,05:30,12月9日当周API原油库存(万)
11,-71.7,2016-12-07,金银 石油|美元|,-113.2,-220,美国,05:30,12月2日当周API原油库存(万)
12,-128,2016-11-30,金银 石油|美元|,89.7,-71.7,美国,05:30,11月25日当周API原油库存(万)
13,365,2016-11-23,金银 石油|美元|,-25,-128,美国,05:30,11月18日当周API原油库存(万)
14,440,2016-11-16,美元|金银 石油|,126.7,365,美国,05:30,11月11日当周API原油库存(万)
15,929.6,2016-11-09,美元|金银 石油|,105,440,美国,05:30,11月4日当周API原油库存(万)
16,475,2016-11-02,美元|金银 石油|,101.3,929.6,美国,04:30,10月28日当周API原油库存(万)
17,-378.8,2016-10-26,美元|金银 石油|,100,475,美国,04:30,10月21日当周API原油库存(万)
18,269,2016-10-19,金银 石油|美元|,275,-379,美国,04:30,10月14日当周API原油库存
19,-755,2016-10-13,美元|金银 石油|,175,269,美国,04:30,10月7日当周API原油库存(万)
20,-75,2016-10-05,金银 石油|美元|,243,-755,美国,04:30,9月30日当周API原油库存(万)
21,-750,2016-09-28,金银 石油|美元|,300,-75,美国,04:30,9月23日当周API原油库存(万)
22,144,2016-09-21,金银 石油|美元|,300,-750,美国,04:30,9月16日当周API原油库存(万)
23,-1208,2016-09-14,金银 石油|美元|,400,144,美国,04:30,9月9日当周API原油库存(万)
24,94,2016-09-08,金银 石油|美元|,40,-1208,美国,04:30,9月2日当周API原油库存(万)
25,446,2016-08-31,金银 石油|美元|,110,94,美国,04:30,8月26日当周API原油库存(万)
26,-134,2016-08-24,美元|金银 石油|,-85,446,美国,04:30,8月19日当周API原油库存(万)
27,208.9,2016-08-17,金银 石油|美元|,95,-100.7,美国,04:30,8月12日当周API原油库存(万)
28,-134,2016-08-10,美元|金银 石油|,-175,209,美国,04:30,8月5日当周API原油库存(万)
29,-83,2016-08-03,金银 石油|美元|,-125,-134,美国,04:30,7月29日当周API原油库存(万)
30,-228,2016-07-27,美元|金银 石油|,-200,-83,美国,04:30,7月22日当周API原油库存(万)
31,221,2016-07-20,金银 石油|美元|,-200,-228,美国,04:30,7月15日当周API原油库存(万)
32,-386,2016-07-13,美元|金银 石油|,-275,221,美国,04:30,7月8日当周API原油库存(万)
33,-386,2016-07-07,金银 石油|美元|,-250,-673.6,美国,04:30,7月1日当周API原油库存(万)
34,-522,2016-06-29,金银 石油|美元|,-250,-386,美国,04:30,6月24日当周API原油库存(万)
35,116,2016-06-22,金银 石油|美元|,-174,-522,美国,04:30,6月17日当周API原油库存(万)
36,-357,2016-06-15,美元|金银 石油|,-235,116,美国,04:30,6月10日当周API原油库存(万)
37,235,2016-06-08,金银 石油|美元|,-300,-357,美国,04:30,6月3日当周API原油库存(万)
38,-514,2016-06-02,美元|金银 石油|,-300,235,美国,04:30,5月27日当周API原油库存(万)
39,-114,2016-05-25,金银 石油|美元|,-250,-514,美国,04:30,5月20日当周API原油库存(万)
40,345,2016-05-18,美元|金银 石油|,-300,-114,美国,04:30,5月13日当周API原油库存(万)
41,126,2016-05-11,美元|金银 石油|,150,345,美国,04:30,5月6日当周API原油库存(万)
42,-108,2016-05-04,金银 石油|美元|,250,126,美国,04:30,4月29日当周API原油库存(万)
43,310,2016-04-27,金银 石油|美元|,250,-108,美国,04:30,4月22日当周API原油库存(万)
44,622,2016-04-20,美元|金银 石油|,275,310,美国,04:30,4月15日当周API原油库存(万)
45,-432,2016-04-13,美元|金银 石油|,260,622,美国,04:30,4月2日当周API原油库存(万)
46,264,2016-04-06,金银 石油|美元|,325,-432,美国,04:30,3月26日当周API原油库存(万)
47,880,2016-03-30,金银 石油|美元|,300,264,美国,04:30,3月19日当周API原油库存(万)
48,150,2016-03-23,美元|金银 石油|,350,880,美国,04:30,3月11日当周API原油库存(万)
49,440,2016-03-16,金银 石油|美元|,349,150,美国,04:30,3月5日当周API原油库存(万)
50,991,2016-03-09,美元|金银 石油|,400,440,美国,05:30,2月27日当周API原油库存(万)
51,710,2016-03-02,美元|金银 石油|,350,991,美国,05:30,2月20日当周API原油库存(万)
52,-326,2016-02-24,美元|金银 石油|,333,710,美国,05:30,2月19日当周API原油库存(万)
53,236,2016-02-18,金银 石油|美元|,400,-326,美国,05:30,2月12日当周API原油库存(万)
54,384,2016-02-10,金银 石油|美元|,365,236,美国,05:30,2月5日当周API原油库存(万)
55,1137,2016-02-03,金银 石油|美元|,500,384,美国,05:30,1月23日当周API原油库存(万)
56,461,2016-01-27,美元|金银 石油|,340,1137,美国,05:30,1月22日当周API原油库存(万)
57,-392,2016-01-21,美元|金银 石油|,268,461,美国,05:30,1月9日当周API原油库存(万)
58,294,2016-01-13,金银 石油|美元|,251,-392,美国,05:30,1月8日当周API原油库存(万)
59,-358,2015-12-30,美元|金银 石油|,-250,294,美国,05:30,12月25日当周API原油库存(万)
